,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
66,,,,4-apple,3-samsung,0-apple,2-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,3-samsung,3-samsung,0-apple,0-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,,,,,
67,,,,4-apple,3-samsung,0-apple,2-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,3-samsung,3-samsung,0-apple,0-apple,3-samsung,0-apple,3-samsung,4-apple,0-apple,,,,,
68,,,,4-apple,3-samsung,0-apple,2-apple,0-apple,3-samsung,0-apple,0-apple,0-apple,0-apple,0-apple,3-samsung,3-samsung,3-samsung,0-apple,0-apple,3-samsung,0-apple,3-samsung,4-apple,0-apple,,,,,
69,,,,4-apple,3-samsung,0-apple,2-apple,0-apple,3-samsung,0-apple,0-apple,0-apple,0-apple,0-apple,3-samsung,3-samsung,3-samsung,0-apple,0-apple,3-samsung,0-apple,3-samsung,4-apple,0-apple,,,,,
70,,,,4-apple,3-samsung,0-apple,2-apple,0-apple,0-apple,0-apple,0-apple,0-apple,0-apple,0-apple,3-samsung,3-samsung,3-samsung,0-apple,0-apple,3-samsung,0-apple,3-samsung,4-apple,0-apple,,,,,
71,,,,,3-samsung,0-apple,2-apple,3-samsung,0-apple,0-apple,0-apple,0-apple,0-apple,0-apple,0-apple,3-samsung,3-samsung,0-apple,0-apple,3-samsung,0-apple,3-samsung,4-apple,4-apple,,,,,
72,,,,,4-apple,0-apple,0-apple,3-samsung,0-apple,0-apple,0-apple,0-apple,0-apple,0-apple,0-apple,3-samsung,3-samsung,0-apple,0-apple,3-samsung,0-apple,3-samsung,4-apple,4-apple,,,,,
73,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,0-apple,0-apple,0-apple,0-apple,0-apple,3-samsung,3-samsung,0-apple,0-apple,4-apple,0-apple,3-samsung,4-apple,4-apple,,,,,
74,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,3-samsung,3-samsung,0-apple,0-apple,4-apple,0-apple,3-samsung,4-apple,4-apple,,,,,
75,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,3-samsung,3-samsung,0-apple,0-apple,4-apple,0-apple,3-samsung,4-apple,4-apple,,,,,
76,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,3-samsung,0-apple,4-apple,0-apple,3-samsung,4-apple,4-apple,,,,,
77,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,3-samsung,0-apple,4-apple,0-apple,3-samsung,4-apple,4-apple,,,,,
78,,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,3-samsung,0-apple,4-apple,0-apple,3-samsung,4-apple,4-apple,,,,,
